strategy,round,participating_clients,local_epochs,client_samples,mean_client_loss,val_accuracy,val_precision,val_recall,val_f1,test_accuracy_at_0_5,test_precision_at_0_5,test_recall_at_0_5,test_f1_at_0_5
highly_non_iid,1,5,5,6000,0.605461,0.5305,0.057,0.8235,0.1066,0.543,0.0575,0.8088,0.1074
highly_non_iid,2,5,5,6000,0.582571,0.549,0.0592,0.8235,0.1105,0.569,0.0608,0.8088,0.1132
highly_non_iid,3,5,5,6000,0.567191,0.5675,0.0626,0.8382,0.1164,0.5975,0.0649,0.8088,0.1202
highly_non_iid,4,5,5,6000,0.555196,0.589,0.0647,0.8235,0.1199,0.6155,0.0678,0.8088,0.1251
highly_non_iid,5,5,5,6000,0.545105,0.6,0.0664,0.8235,0.1228,0.629,0.0702,0.8088,0.1291
highly_non_iid,6,5,5,6000,0.536289,0.6135,0.0685,0.8235,0.1266,0.6445,0.073,0.8088,0.134
highly_non_iid,7,5,5,6000,0.528432,0.6285,0.0712,0.8235,0.131,0.658,0.0758,0.8088,0.1385
highly_non_iid,8,5,5,6000,0.521348,0.635,0.0724,0.8235,0.133,0.672,0.0788,0.8088,0.1436
highly_non_iid,9,5,5,6000,0.514913,0.646,0.0745,0.8235,0.1366,0.684,0.0816,0.8088,0.1482
highly_non_iid,10,5,5,6000,0.509036,0.6575,0.0745,0.7941,0.1362,0.6945,0.0842,0.8088,0.1526
highly_non_iid,11,5,5,6000,0.503645,0.6625,0.0731,0.7647,0.1335,0.7055,0.0898,0.8382,0.1622
highly_non_iid,12,5,5,6000,0.498684,0.669,0.0745,0.7647,0.1358,0.712,0.0916,0.8382,0.1652
highly_non_iid,13,5,5,6000,0.494107,0.676,0.076,0.7647,0.1383,0.7175,0.0933,0.8382,0.1679
highly_non_iid,14,5,5,6000,0.489873,0.6825,0.0775,0.7647,0.1407,0.72,0.0927,0.8235,0.1667
highly_non_iid,15,5,5,6000,0.485948,0.687,0.0785,0.7647,0.1425,0.7255,0.0931,0.8088,0.1669
highly_non_iid,16,5,5,6000,0.482302,0.693,0.0787,0.75,0.1425,0.7305,0.0961,0.8235,0.172
highly_non_iid,17,5,5,6000,0.478908,0.6955,0.0793,0.75,0.1435,0.7365,0.0981,0.8235,0.1753
highly_non_iid,18,5,5,6000,0.475746,0.6995,0.0803,0.75,0.1451,0.742,0.1,0.8235,0.1783
highly_non_iid,19,5,5,6000,0.472792,0.701,0.0807,0.75,0.1457,0.7475,0.1034,0.8382,0.1842
highly_non_iid,20,5,5,6000,0.470031,0.705,0.0831,0.7647,0.1499,0.752,0.1052,0.8382,0.1869
